,Host,Medal,number_of_host
0,Australia,2861,2
1,Brazil,2023,1
2,Canada,1320,1
3,China,2048,1
4,England,10872,3
5,Finland,897,1
6,France,2872,2
7,Germany,917,1
8,Japan,1029,1
9,Mexico,1057,1
10,Netherlands,734,1
11,South Korea,1582,1
12,Spain,1712,1
13,Sweden,977,2
14,United States,6574,4
15,West Germany,1215,1
